,file_name,directory,sentence
0,example.png,png/,<start> a group of giraffes standing next to each other . <end>
1,image_captioning.png,png/,<start> a bunch of different types of different types of scissors . <end>
2,model.png,png/,<start> a bunch of different types of different types of scissors . <end>
3,COCO_train2014_000000000247.jpg,png/,<start> a small airplane is sitting on the runway . <end>
4,COCO_train2014_000000000925.jpg,png/,<start> a man wearing a suit and tie with a tie . <end>
5,COCO_train2014_000000001183.jpg,png/,<start> a man is playing frisbee in a park . <end>
6,COCO_train2014_000000001526.jpg,png/,<start> a microwave oven sitting on top of a wooden table . <end>
7,COCO_train2014_000000000250.jpg,png/,<start> a street sign with a street sign and a street sign . <end>
8,COCO_train2014_000000000260.jpg,png/,<start> a man is standing in front of a bus . <end>
9,COCO_train2014_000000000263.jpg,png/,<start> a man is standing next to a man on a skateboard . <end>
10,COCO_train2014_000000000307.jpg,png/,<start> a dog is sitting on a green grass covered field . <end>
11,COCO_train2014_000000000308.jpg,png/,<start> a man and woman in a kitchen with a large cake . <end>
12,COCO_train2014_000000000309.jpg,png/,<start> a dog is laying on a wooden bench . <end>
13,COCO_train2014_000000000312.jpg,png/,<start> a group of elephants walking through a forest . <end>
14,COCO_train2014_000000000315.jpg,png/,<start> a beach with a beach and a beach umbrella . <end>
15,COCO_train2014_000000000321.jpg,png/,<start> a hot dog with mustard and ketchup on a plate . <end>
16,COCO_train2014_000000000322.jpg,png/,<start> a man is flying a kite in a park . <end>
17,COCO_train2014_000000000326.jpg,png/,<start> a man is holding a wii remote in his hand . <end>
18,COCO_train2014_000000000332.jpg,png/,<start> a plate of food with a fork and a fork . <end>
19,COCO_train2014_000000000349.jpg,png/,<start> a train is pulling into a station with a train on it . <end>
20,COCO_train2014_000000000368.jpg,png/,<start> a group of young men playing a game of soccer . <end>
21,COCO_train2014_000000000370.jpg,png/,<start> a woman eating a piece of pizza on a plate . <end>
22,COCO_train2014_000000000382.jpg,png/,<start> a man is skiing down a hill on a snowy day . <end>
23,COCO_train2014_000000000384.jpg,png/,"<start> a living room with a couch , a television , and a television . <end>"
24,COCO_train2014_000000000389.jpg,png/,<start> a man wearing a suit and tie with a tie . <end>
25,COCO_train2014_000000000394.jpg,png/,<start> a dog with a red bow tie on a leash . <end>
26,COCO_train2014_000000000404.jpg,png/,<start> a boat is docked in the water near a lake . <end>
27,COCO_train2014_000000000419.jpg,png/,<start> a man is standing on a skateboard in the street . <end>
28,COCO_train2014_000000000431.jpg,png/,<start> a man is playing tennis on a tennis court . <end>
29,COCO_train2014_000000000436.jpg,png/,<start> a man is eating a piece of pizza . <end>
30,COCO_train2014_000000000438.jpg,png/,<start> a bunch of different types of doughnuts on a table . <end>
31,COCO_train2014_000000000443.jpg,png/,<start> a man holding a cat in his lap with a cat . <end>
32,COCO_train2014_000000000446.jpg,png/,<start> a man is playing a video game on a wii game . <end>
33,COCO_train2014_000000000450.jpg,png/,<start> a pizza with a slice missing on it . <end>
34,COCO_train2014_000000000471.jpg,png/,<start> a yellow and yellow bus on a city street . <end>
35,COCO_train2014_000000000490.jpg,png/,<start> a dog is sitting on a couch with a remote . <end>
36,COCO_train2014_000000000491.jpg,png/,<start> a stuffed bear is sitting on a table next to a teddy bear . <end>
37,COCO_train2014_000000000508.jpg,png/,<start> a person is skiing down a hill in the snow . <end>
38,COCO_train2014_000000000510.jpg,png/,<start> a man sitting on a bench next to a tree . <end>
39,COCO_train2014_000000000514.jpg,png/,<start> a bed with a bed in a room . <end>
40,COCO_train2014_000000000529.jpg,png/,<start> a man is sitting on a motorcycle in a park . <end>
41,COCO_train2014_000000000531.jpg,png/,<start> a group of people playing a game of tennis . <end>
42,COCO_train2014_000000000532.jpg,png/,<start> a red and yellow bus driving down a street . <end>
43,COCO_train2014_000000000540.jpg,png/,<start> a large airplane is parked on the runway . <end>
44,COCO_train2014_000000000542.jpg,png/,<start> a group of people standing around a large airplane . <end>
45,COCO_train2014_000000000560.jpg,png/,<start> a bathroom with a sink and a window . <end>
46,COCO_train2014_000000000562.jpg,png/,<start> a glass vase with a glass and a glass vase <end>
47,COCO_train2014_000000000572.jpg,png/,<start> a man and a woman are playing a video game . <end>
48,COCO_train2014_000000000575.jpg,png/,<start> a cat laying on a wooden bench next to a cat . <end>
49,COCO_train2014_000000000581.jpg,png/,<start> a dog is sitting on a couch with a cat . <end>
50,COCO_train2014_000000000584.jpg,png/,<start> a bowl of food with a bowl of soup on it . <end>
51,COCO_train2014_000000000595.jpg,png/,<start> a black and white photo of a bench in the grass . <end>
52,COCO_train2014_000000000597.jpg,png/,<start> a group of elephants walking through a river . <end>
53,COCO_train2014_000000000605.jpg,png/,<start> a plate of food with a fork and a fork . <end>
54,COCO_train2014_000000000612.jpg,png/,<start> a large vase with a bunch of stuffed animals . <end>
55,COCO_train2014_000000000620.jpg,png/,<start> a pizza is on a wooden table with a knife . <end>
56,COCO_train2014_000000000625.jpg,png/,<start> two men playing frisbee in a field with a frisbee . <end>
57,COCO_train2014_000000000629.jpg,png/,<start> a bicycle parked in front of a building . <end>
58,COCO_train2014_000000000634.jpg,png/,<start> a man is jumping a skateboard on a ramp . <end>
59,COCO_train2014_000000000643.jpg,png/,<start> a desk with a computer and a phone on it . <end>
60,COCO_train2014_000000000650.jpg,png/,<start> a black and white cat sitting on a black car . <end>
61,COCO_train2014_000000000656.jpg,png/,<start> a motorcycle parked on a street next to a building . <end>
62,COCO_train2014_000000000659.jpg,png/,<start> a red and yellow train is parked on the side of a road . <end>
63,COCO_train2014_000000000670.jpg,png/,<start> a bunch of doughnuts that are on a table . <end>
64,COCO_train2014_000000000671.jpg,png/,<start> a black and white photo of a person on a snowboard . <end>
65,COCO_train2014_000000000673.jpg,png/,<start> a beach with a surfboard and a beach <end>
66,COCO_train2014_000000000681.jpg,png/,<start> a bus parked on a street next to a building . <end>
67,COCO_train2014_000000000684.jpg,png/,<start> a toilet with a seat of a toilet in it . <end>
68,COCO_train2014_000000000690.jpg,png/,<start> a man riding a motorcycle on a road . <end>
69,COCO_train2014_000000000706.jpg,png/,<start> a giraffe standing in a field next to a tree . <end>
70,COCO_train2014_000000000714.jpg,png/,<start> a bathroom with a toilet and a sink . <end>
71,COCO_train2014_000000000716.jpg,png/,<start> a laptop computer sitting on a desk next to a keyboard . <end>
72,COCO_train2014_000000000722.jpg,png/,<start> a group of people in a field with a kite . <end>
73,COCO_train2014_000000000723.jpg,png/,<start> a motorcycle parked in front of a building . <end>
74,COCO_train2014_000000000731.jpg,png/,<start> a woman walking in the rain with a umbrella . <end>
75,COCO_train2014_000000000735.jpg,png/,<start> a man and woman in a kitchen with a cake and a table . <end>
76,COCO_train2014_000000000753.jpg,png/,<start> a giraffe standing in a field next to a tree . <end>
77,COCO_train2014_000000000754.jpg,png/,<start> a bathroom with a toilet and a sink . <end>
78,COCO_train2014_000000000762.jpg,png/,"<start> a living room with a couch , chair and a television . <end>"
79,COCO_train2014_000000000781.jpg,png/,<start> a person is flying a kite in the ocean . <end>
80,COCO_train2014_000000000790.jpg,png/,<start> a woman sitting at a table with a cake and a drink . <end>
81,COCO_train2014_000000000795.jpg,png/,<start> a train station with a train on the platform . <end>
82,COCO_train2014_000000000797.jpg,png/,<start> a large elephant standing next to a pile of rocks . <end>
83,COCO_train2014_000000000801.jpg,png/,<start> a tall clock tower with a clock on top . <end>
84,COCO_train2014_000000000813.jpg,png/,<start> a bird is sitting on a branch in the water . <end>
85,COCO_train2014_000000000821.jpg,png/,<start> a man and a woman are sitting on a bench . <end>
86,COCO_train2014_000000000825.jpg,png/,<start> a cat laying on a bed next to a cat . <end>
87,COCO_train2014_000000000828.jpg,png/,<start> a man is surfing on a wave in the ocean . <end>
88,COCO_train2014_000000000839.jpg,png/,<start> a man and a woman playing frisbee in a park . <end>
89,COCO_train2014_000000000853.jpg,png/,<start> a plate of food with a fork and a fork . <end>
90,COCO_train2014_000000000882.jpg,png/,<start> a man holding a dog on a beach with a dog . <end>
91,COCO_train2014_000000000897.jpg,png/,<start> a man is skiing down a snowy slope . <end>
92,COCO_train2014_000000000901.jpg,png/,<start> a city street with a lot of cars and buildings . <end>
93,COCO_train2014_000000000902.jpg,png/,<start> a bowl of oranges sitting on a table . <end>
94,COCO_train2014_000000000908.jpg,png/,<start> a kitchen with a refrigerator and a refrigerator <end>
95,COCO_train2014_000000000909.jpg,png/,<start> a laptop computer sitting on a desk next to a keyboard . <end>
96,COCO_train2014_000000000913.jpg,png/,<start> a large airplane sitting on top of a runway . <end>
97,COCO_train2014_000000000927.jpg,png/,<start> a man is standing on a skateboard in the middle of a building . <end>
98,COCO_train2014_000000000934.jpg,png/,<start> a large elephant standing next to a small elephant . <end>
99,COCO_train2014_000000000941.jpg,png/,<start> a laptop and a keyboard on a desk . <end>
100,COCO_train2014_000000000943.jpg,png/,<start> a person holding a frisbee in a park . <end>
101,COCO_train2014_000000000955.jpg,png/,<start> a room with a bunch of luggage on it . <end>
102,COCO_train2014_000000000960.jpg,png/,<start> a woman is holding a cell phone in her hand . <end>
103,COCO_train2014_000000000965.jpg,png/,<start> a person is laying on a bed with a snowboard . <end>
104,COCO_train2014_000000000977.jpg,png/,<start> a cat is laying on a bed next to a cat . <end>
105,COCO_train2014_000000000982.jpg,png/,<start> a stuffed animal with a red bow on a bed . <end>
106,COCO_train2014_000000000984.jpg,png/,<start> a person is holding a banana in a basket . <end>
107,COCO_train2014_000000000996.jpg,png/,<start> a group of giraffes standing next to each other . <end>
108,COCO_train2014_000000001006.jpg,png/,<start> a woman in a black shirt and a black tie <end>
109,COCO_train2014_000000001011.jpg,png/,<start> a man is standing on a skateboard in a city . <end>
110,COCO_train2014_000000001014.jpg,png/,<start> a group of young men playing a game of frisbee . <end>
111,COCO_train2014_000000001025.jpg,png/,<start> a dog is laying on a beach next to a dog . <end>
